               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.047213,            0.067443,            0.025395,             0.74595,             0.62364,             0.71449,             0.48003,            0.040709,            0.036987,           0.0093565,              0.0937,              0.0007,              0.0007
                   1,            0.046788,             0.07781,            0.024479,              0.7423,             0.63558,             0.71237,             0.48423,            0.040481,            0.036993,           0.0086899,            0.086426,           0.0014257,           0.0014257
                   2,            0.046164,            0.065974,            0.021583,             0.76351,             0.62591,             0.71653,             0.48515,            0.040251,            0.037072,           0.0082316,            0.079072,           0.0020723,           0.0020723
                   3,            0.044143,            0.064943,             0.02253,             0.75057,             0.64842,             0.72296,             0.49287,            0.039916,            0.037234,           0.0078156,             0.07164,           0.0026396,           0.0026396
                   4,            0.048257,            0.063666,            0.021777,             0.76825,              0.6647,             0.73601,             0.49151,            0.040098,            0.037144,           0.0075643,            0.064128,           0.0031278,           0.0031278
                   5,            0.046644,            0.068057,            0.019535,             0.78855,              0.6686,             0.75123,             0.49827,            0.040158,            0.036984,           0.0072525,            0.056537,           0.0035367,           0.0035367
                   6,            0.045225,            0.067078,            0.016183,              0.7865,             0.66763,             0.76639,             0.49702,            0.041104,            0.037293,           0.0069659,            0.048867,           0.0038665,           0.0038665
                   7,            0.046083,            0.063014,            0.015953,             0.77234,             0.68986,             0.77894,             0.49668,            0.041639,            0.036371,           0.0065184,            0.041117,           0.0041171,           0.0041171
                   8,             0.04609,            0.063958,            0.015943,             0.78678,             0.67463,             0.77312,             0.45645,             0.04435,            0.035589,           0.0059417,            0.033288,           0.0042884,           0.0042884
                   9,            0.044285,            0.059608,            0.014833,             0.79689,              0.6979,             0.79951,             0.51038,            0.042366,            0.035096,           0.0056218,            0.025381,           0.0043806,           0.0043806
                  10,            0.045089,            0.058335,            0.015115,             0.81521,             0.70151,             0.80117,             0.52657,            0.041102,            0.033854,            0.005556,            0.017394,           0.0043935,           0.0043935
                  11,             0.04518,            0.060894,            0.015572,             0.79033,             0.71735,              0.8002,             0.51743,            0.040646,             0.03374,           0.0057023,           0.0093273,           0.0043273,           0.0043273
                  12,            0.041947,            0.055243,            0.014231,             0.76687,             0.74246,             0.80468,             0.52564,            0.040345,            0.033309,           0.0053742,             0.00406,             0.00406,             0.00406
                  13,            0.045539,            0.052301,            0.013279,             0.82269,             0.74581,             0.82072,             0.53028,            0.040444,            0.032475,           0.0050085,             0.00406,             0.00406,             0.00406
                  14,            0.042994,             0.05738,             0.01365,             0.79528,             0.75207,             0.81562,             0.53216,            0.039844,            0.032226,           0.0048451,            0.003565,            0.003565,            0.003565
                  15,            0.042282,            0.056825,            0.014609,             0.80418,             0.75994,             0.81251,             0.54156,            0.038828,            0.032355,           0.0048599,             0.00307,             0.00307,             0.00307
                  16,            0.040307,            0.056536,            0.012635,             0.82135,             0.76866,               0.836,             0.56088,            0.038027,            0.032188,           0.0047574,            0.002575,            0.002575,            0.002575
                  17,            0.042212,            0.058634,            0.012319,             0.80709,             0.77206,             0.84524,             0.56261,            0.037872,            0.032081,           0.0047342,             0.00208,             0.00208,             0.00208
                  18,            0.040342,            0.052017,            0.013385,             0.85228,              0.7794,             0.85442,             0.58867,            0.036686,            0.031744,           0.0046574,            0.001585,            0.001585,            0.001585
                  19,            0.040574,            0.058098,            0.011813,              0.8524,             0.78463,             0.85091,             0.58838,            0.036572,            0.031631,           0.0045853,             0.00109,             0.00109,             0.00109
