               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.045045,            0.057922,            0.016367,              0.6152,             0.44949,             0.53789,             0.31882,            0.047914,            0.045636,            0.015483,             0.09307,               7e-05,               7e-05
                   1,            0.044744,            0.067222,            0.015256,             0.72024,             0.58491,             0.68762,             0.42675,            0.043628,            0.039174,           0.0091918,            0.085143,          0.00014258,          0.00014258
                   2,            0.044296,             0.05774,            0.014423,             0.77834,             0.62466,             0.73641,             0.47431,            0.041967,            0.036181,           0.0070107,            0.077207,          0.00020723,          0.00020723
                   3,            0.041594,            0.055977,            0.013698,             0.79195,             0.67963,             0.77905,             0.50758,            0.040556,            0.034326,           0.0061545,            0.069264,          0.00026397,          0.00026397
                   4,            0.045509,             0.05618,            0.014975,             0.80493,             0.70766,             0.79127,             0.52798,             0.03999,            0.033792,           0.0058215,            0.061313,          0.00031278,          0.00031278
                   5,            0.042688,             0.05925,             0.01331,             0.79912,             0.71863,             0.79377,             0.53368,            0.039637,            0.033501,           0.0055733,            0.053354,          0.00035367,          0.00035367
                   6,            0.042151,            0.058788,            0.012168,             0.78008,             0.74614,             0.80221,             0.53877,            0.039314,             0.03334,           0.0054686,            0.045387,          0.00038665,          0.00038665
                   7,            0.041686,            0.055724,            0.011702,             0.80138,             0.73797,              0.8082,             0.54175,            0.039345,            0.033436,           0.0053806,            0.037412,          0.00041171,          0.00041171
                   8,            0.041744,            0.057261,            0.011225,             0.79214,             0.74504,             0.80398,             0.54522,            0.039101,            0.033446,           0.0053062,            0.029429,          0.00042884,          0.00042884
                   9,            0.040379,            0.053798,            0.011702,             0.79112,              0.7483,             0.80643,             0.55176,             0.03884,            0.033412,           0.0052656,            0.021438,          0.00043805,          0.00043805
                  10,            0.040033,            0.051641,            0.011687,              0.8034,             0.74706,             0.80861,             0.55718,            0.038574,            0.033257,           0.0051726,            0.013439,          0.00043935,          0.00043935
                  11,            0.041515,            0.055045,            0.012722,             0.81806,             0.74055,             0.81033,             0.55824,            0.038446,            0.033165,           0.0051208,           0.0054327,          0.00043272,          0.00043272
                  12,            0.038014,            0.050884,            0.011448,             0.81313,             0.74437,              0.8097,             0.55988,            0.038395,            0.033194,            0.005071,            0.000406,            0.000406,            0.000406
                  13,            0.042577,            0.049032,            0.011737,             0.82037,             0.74733,              0.8156,             0.56788,            0.038055,            0.032768,           0.0050473,            0.000406,            0.000406,            0.000406
                  14,            0.041156,            0.053961,            0.011988,             0.82602,             0.75427,             0.81868,             0.57108,            0.037836,            0.032495,           0.0050249,           0.0003565,           0.0003565,           0.0003565
                  15,            0.040755,            0.054563,            0.013165,             0.82024,             0.75663,             0.81814,             0.57105,            0.037836,            0.032539,           0.0049946,            0.000307,            0.000307,            0.000307
                  16,            0.039691,             0.05597,            0.012416,             0.81569,                0.76,             0.81872,             0.57091,            0.037781,            0.032477,           0.0049582,           0.0002575,           0.0002575,           0.0002575
                  17,            0.042281,            0.059015,             0.01268,             0.82013,             0.74316,             0.81608,             0.57214,            0.037755,            0.032561,           0.0049815,            0.000208,            0.000208,            0.000208
                  18,            0.040879,            0.052414,            0.013985,             0.82312,             0.73672,             0.81272,              0.5707,            0.037783,            0.032727,            0.005026,           0.0001585,           0.0001585,           0.0001585
                  19,            0.042245,            0.060685,            0.012697,             0.81933,             0.74414,             0.81632,             0.57339,            0.037751,            0.032643,           0.0050004,            0.000109,            0.000109,            0.000109
